file,group,return_period,SLR
Hazards/Coastal/penama_province/FloodDepth_penama_5_0.4.tif,penama,5,0.4
Hazards/Coastal/penama_province/FloodDepth_penama_5_0.5.tif,penama,5,0.5
Hazards/Coastal/penama_province/FloodDepth_penama_5_0.6.tif,penama,5,0.6
Hazards/Coastal/penama_province/FloodDepth_penama_5_0.7.tif,penama,5,0.7
Hazards/Coastal/penama_province/FloodDepth_penama_5_0.8.tif,penama,5,0.8
Hazards/Coastal/penama_province/FloodDepth_penama_5_0.9.tif,penama,5,0.9
Hazards/Coastal/penama_province/FloodDepth_penama_5_0.tif,penama,5,0
Hazards/Coastal/penama_province/FloodDepth_penama_5_1.0.tif,penama,5,1.0
Hazards/Coastal/penama_province/FloodDepth_penama_5_1.1.tif,penama,5,1.1
Hazards/Coastal/penama_province/FloodDepth_penama_5_1.2.tif,penama,5,1.2
Hazards/Coastal/penama_province/FloodDepth_penama_5_1.3.tif,penama,5,1.3
Hazards/Coastal/penama_province/FloodDepth_penama_5_1.4.tif,penama,5,1.4
Hazards/Coastal/penama_province/FloodDepth_penama_5_1.5.tif,penama,5,1.5
Hazards/Coastal/penama_province/FloodDepth_penama_5_1.6.tif,penama,5,1.6
Hazards/Coastal/penama_province/FloodDepth_penama_5_1.7.tif,penama,5,1.7
Hazards/Coastal/penama_province/FloodDepth_penama_5_1.8.tif,penama,5,1.8
Hazards/Coastal/penama_province/FloodDepth_penama_5_1.9.tif,penama,5,1.9
Hazards/Coastal/penama_province/FloodDepth_penama_5_2.0.tif,penama,5,2.0
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_0.1.tif,penama,1,0.1
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_0.2.tif,penama,1,0.2
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_0.3.tif,penama,1,0.3
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_0.4.tif,penama,1,0.4
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_0.5.tif,penama,1,0.5
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_0.6.tif,penama,1,0.6
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_0.7.tif,penama,1,0.7
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_0.8.tif,penama,1,0.8
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_0.9.tif,penama,1,0.9
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_0.tif,penama,1,0
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_1.0.tif,penama,1,1.0
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_1.1.tif,penama,1,1.1
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_1.2.tif,penama,1,1.2
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_1.3.tif,penama,1,1.3
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_1.4.tif,penama,1,1.4
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_1.5.tif,penama,1,1.5
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_1.6.tif,penama,1,1.6
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_1.7.tif,penama,1,1.7
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_1.8.tif,penama,1,1.8
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_1.9.tif,penama,1,1.9
Hazards/Coastal/penama_province/FloodDepth_penama_MHWS_2.0.tif,penama,1,2.0
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_0.1.tif,sanma,100,0.1
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_0.2.tif,sanma,100,0.2
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_0.3.tif,sanma,100,0.3
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_0.4.tif,sanma,100,0.4
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_0.5.tif,sanma,100,0.5
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_0.6.tif,sanma,100,0.6
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_0.7.tif,sanma,100,0.7
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_0.8.tif,sanma,100,0.8
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_0.9.tif,sanma,100,0.9
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_0.tif,sanma,100,0
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_1.0.tif,sanma,100,1.0
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_1.1.tif,sanma,100,1.1
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_1.2.tif,sanma,100,1.2
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_1.3.tif,sanma,100,1.3
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_1.4.tif,sanma,100,1.4
Hazards/Coastal/sanma_province/FloodDepth_sanma_100_1.5.tif,sanma,100,1.5
